model,rae,spearman,kendall,r2,mae,te_std
grover_large,0.7706340535050282,0.6127136019175413,0.42460024802931434,0.3130000340271778,0.6154767850771484,0.5790233550271096
oof_consensus_delta_ml,0.7711679510363595,0.6266789009734615,0.4493385101695805,0.3123223443293216,0.6159031891980796,0.4363602538186049
nb157_optuna_lgbm_mae,0.7711743593302295,0.6224354389632881,0.4380367660445858,0.25955476650836284,0.6159083072642888,0.5842882067789268
nb272_C_pxr_papyrus_other_nr,0.7716905082622546,0.6402629442528629,0.4526034584723567,0.3057934772558557,0.616320536238416,0.5392679046349786
nb204_multiseed_fast_baseline,0.771853638669194,0.6138288399032763,0.43188359424319983,0.28301712207390317,0.6164508224332119,0.593636652424052
nb196_fine_div15,0.7721245028572303,0.6133201283569594,0.43163244437375553,0.2826437409076231,0.6166671515960447,0.5934814675168848
nb188_diverse_refine,0.7721584444782947,0.6159770624419112,0.4331393435904215,0.2761224225265797,0.6166942595076637,0.5953072145256848
nb197_dense_grid,0.7724036392680231,0.6130048235310921,0.4313812945043112,0.28209313684815984,0.6168900874758326,0.593319359085541
nb214_div15_nb212_blend,0.7729642618342095,0.6130526194447664,0.4316952318411166,0.2798754141084048,0.6173378358891148,0.591620138075177
nb162_mixed_pool,0.7730338725244411,0.6148747923397313,0.434332305470282,0.25894779334181284,0.617393431360968,0.6030256696771439
nb212_nb211_blend,0.7730474874032964,0.6129092317037435,0.43163244437375553,0.27981555514614487,0.6174043050588393,0.5916869400589516
nb219_diversity_blend,0.7730601662821058,0.6129092317037435,0.43163244437375553,0.27979270659869515,0.6174144312082516,0.5916852140606853
nb195_expanded,0.7732570051428495,0.6122308261383347,0.43050226996125596,0.2779322370741022,0.6175716390926393,0.5938277902903036
nb119_optuna_ensemble,0.7734997414533941,0.6322899189322552,0.4490873603001362,0.24533572548389893,0.6177655035648307,0.5882045065764677
nb194_constrained,0.7735780567370824,0.6112967680114119,0.4299999702223674,0.27755241733054126,0.6178280510720524,0.5937344445127793
nb199_external_pxr,0.7737331472958858,0.6117914001412974,0.4306906323633392,0.27877354430472534,0.6179519161388686,0.5930512773475629
nb202_ridge_baseline,0.774861322350164,0.6094453247507083,0.42836749607097924,0.26949705710625405,0.6188529476365726,0.5943410280019215
nb207_fine_alpha_min,0.7754984772881818,0.6103263998105348,0.4294976704834787,0.27708990645272746,0.6193618196116217,0.5937449015590271
nb205_ratio_inflate,0.7760743976231657,0.6101518891489796,0.42905815821195115,0.27702841735335926,0.6198217857844429,0.5992362047974162
