model,rae,mae,spearman
nb163_lgbm_colsample,0.7343727199362977,0.5865162052714875,0.6623905997292945
nb145_level3_meta,0.7356692895353134,0.5875517272352541,0.6520570490907077
nb144_grand_v10,0.7379356684160663,0.5893617998383894,0.6480088463557777
nb147_oofrdkit_meta,0.7386897504095852,0.5899640571081591,0.6511089115473537
lgbm_tuned,0.7393577731093236,0.5904975820175808,0.7019244895352408
nb146_chembl_analogy,0.7400173682720341,0.5910243761663097,0.6884112138489541
nb143_oofassay_meta,0.7404641149727479,0.5913811761569777,0.6459032325773952
nb177_bootstrap,0.7407184623919,0.5915843139901948,0.7041816422957381
nb148_meta_disagreement,0.7418351649035628,0.5924761827943825,0.6687222615027907
nb144_full_papyrus,0.743579856200664,0.5938696029081292,0.703543992935788
nb179_fresh,0.7437679897822748,0.5940198582095243,0.6899432766632444
nb151_3d_quantum,0.7440169188834697,0.5942186686335106,0.6879955005532749
nb133_interactions,0.7452927411946758,0.5952376205093839,0.6977195606647739
nb179_stack,0.7460093119867877,0.5958099189763454,0.6372843394594463
nb153_grand_v12,0.7471114731571127,0.5966901741515004,0.639160674150683
nb151_grand_v11,0.7474209411017005,0.5969373347003407,0.6395263684669356
nb166_catboost_v2,0.7478602924069427,0.597288228263427,0.6464423260223269
nb175_stack_nb224_eng,0.7484859413794109,0.5977879108513039,0.642462231066724
nb176_stack_nb224,0.7485635123392238,0.5978498638947022,0.6393969933374211
nb169_rf_et_mae,0.7507069563243404,0.5995617529644264,0.6427868649036357
nb149_meta_maeloss,0.7511871696654289,0.599945281517285,0.6351817569650329
nb156_catboost_mae,0.7512641989810885,0.6000068019696232,0.6439850973441229
nb145_lgb_stack,0.7528803557939121,0.6012975663665675,0.6383370282894576
nb145_xgb_stack,0.7537725153868888,0.6020101010846527,0.6414189384440565
nb172_bootstrap_ensemble,0.7544989466324706,0.6025902747294284,0.6333091945796827
nb155_grand_v13,0.75450488162029,0.602595014783681,0.6320891019926312
nb171_catboost_extended,0.754690098647674,0.6027429407415821,0.6426890500105347
nb165_multiseed_162c,0.7550992078308211,0.6030696810454185,0.6379290957239114
nb168_multiseed_catboost,0.7560664246126149,0.6038421611514085,0.6309297732028092
nb164_grand_v14,0.7573443524295521,0.6048627946164777,0.6364866965616304
grover_lgbm,0.7574138190533889,0.6049182750278542,0.6126498740326423
nb149_dis_aug,0.7586220617970317,0.6058832536140818,0.6306741206412951
nb173_softmax_sweep,0.7605921950017624,0.6074567258029974,0.6288927039517891
nb180_nonlinear_6model,0.7619532839904573,0.6085437770060368,0.6326426453649527
nb181_quantile_poly,0.7629895773487121,0.6093714260070568,0.6278241503468523
nb175_bayes_blend,0.7630985513363744,0.6094584594819966,0.6275529363250723
nb170_grand_v15,0.7631819893280001,0.60952509830571,0.6275173672730355
nb176_optuna_weights,0.7632820648401613,0.6096050248988961,0.6270909091595536
nb184_grand_v16,0.7634200428463956,0.6097152228058045,0.625757440219135
nb183_qreg_poly10,0.7642858441744638,0.6104067061570673,0.6238004013351975
nb152_lgbm_mae_tuned,0.7657047752050573,0.611539953649809,0.6175024560589445
nb174_top10_lgbm,0.7657382119269754,0.6115666583172397,0.6285536864245641
199_nb197_nb123_w05,0.7669942170578254,0.6125697829474841,0.6164346434759252
grover,0.7705724558384172,0.6154275893095313,0.6065212522645224
grover_large,0.7706340535050282,0.6154767850771484,0.6127136019175413
nb157_optuna_lgbm_mae,0.7711743593302295,0.6159083072642888,0.6224354389632881
nb204_multiseed_fast_baseline,0.771853638669194,0.6164508224332119,0.6138288399032763
nb196_fine_div15,0.7721245028572303,0.6166671515960447,0.6133201283569594
nb188_diverse_refine,0.7721584444782947,0.6166942595076637,0.6159770624419112
nb197_dense_grid,0.7724036392680231,0.6168900874758326,0.6130048235310921
nb162_mixed_pool,0.7730338725244411,0.617393431360968,0.6148747923397313
nb212_nb211_blend,0.7730474874032964,0.6174043050588393,0.6129092317037435
nb195_expanded,0.7732570051428495,0.6175716390926393,0.6122308261383347
nb194_constrained,0.7735780567370824,0.6178280510720524,0.6112967680114119
nb199_external_pxr,0.7737331472958858,0.6179519161388686,0.6117914001412974
nb202_ridge_baseline,0.774861322350164,0.6188529476365726,0.6094453247507083
nb207_fine_alpha_min,0.7754984772881818,0.6193618196116217,0.6103263998105348
nb205_ratio_inflate,0.7760743976231657,0.6198217857844429,0.6101518891489796
nb167_xgboost_mae,0.7761600675476814,0.6198902071700266,0.6034978828414006
nb211_div15_chemprop_blend,0.776558503538066,0.6202084231913737,0.6060151342949164
nb192_poly_variant,0.7768142297268482,0.6204126621966654,0.605688343629329
nb177_xgb_histgb,0.7773532099141724,0.6208431256460882,0.6033259657565564
nb154_lgbm_mae_filtered,0.7774467299831526,0.6209178166503779,0.6083919620950791
nb187_diversity_qreg,0.7788578445178853,0.6220448213983031,0.6036683178824099
nb209_direct_best_inflate,0.7856395595149338,0.6274611251869932,0.5977560745141801
chemberta_mtr,0.7908961353253003,0.6316593569749135,0.6084307932042233
crossattn_chemberta_esm2,0.8013212579271347,0.6399855150441407,0.5457232838686024
