iter	Passed	Remaining
1329	100886	50822
1330	100955	50743
1331	101030	50667
1332	101116	50596
1333	101189	50518
1334	101260	50440
1335	101337	50365
1336	101418	50291
1337	101493	50215
1338	101557	50134
1339	101626	50054
1340	101702	49978
1341	101767	49898
1342	101838	49819
1343	101903	49738
1344	101981	49663
1345	102047	49583
1346	102117	49504
1347	102188	49426
1348	102262	49349
1349	102329	49269
1350	102405	49194
1351	102467	49111
1352	102553	49040
1353	102619	48960
1354	102681	48878
1355	102761	48804
1356	102855	48737
1357	102928	48660
1358	103005	48584
1359	103070	48503
1360	103158	48433
1361	103230	48356
1362	103301	48278
1363	103380	48203
1364	103460	48130
1365	103527	48050
1366	103602	47973
1367	103667	47893
1368	103756	47823
1369	103825	47744
1370	103897	47666
1371	103974	47591
1372	104069	47524
1373	104136	47444
1374	104208	47367
1375	104281	47290
1376	104369	47220
1377	104442	47142
1378	104512	47064
1379	104582	46986
1380	104665	46913
1381	104732	46834
1382	104798	46754
1383	104866	46674
1384	104951	46603
1385	105023	46525
1386	105090	46445
1387	105152	46363
1388	105239	46293
1389	105303	46212
1390	105368	46131
1391	105437	46053
1392	105522	45981
1393	105596	45904
1394	105666	45826
1395	105737	45748
1396	105829	45680
1397	105897	45601
1398	105963	45521
1399	106032	45442
1400	106109	45367
1401	106176	45288
1402	106242	45208
1403	106313	45130
1404	106408	45062
1405	106485	44987
1406	106559	44910
1407	106631	44833
1408	106712	44760
1409	106778	44680
1410	106846	44601
1411	106918	44524
1412	106999	44450
1413	107076	44375
1414	107156	44301
1415	107239	44228
1416	107329	44158
1417	107408	44084
1418	107488	44010
1419	107562	43933
1420	107653	43864
1421	107722	43785
1422	107788	43706
1423	107857	43627
1424	107942	43555
1425	108007	43475
1426	108077	43397
1427	108147	43319
1428	108236	43249
1429	108305	43170
1430	108370	43090
1431	108441	43012
1432	108530	42942
1433	108606	42867
1434	108670	42786
1435	108733	42705
1436	108815	42632
1437	108885	42554
1438	108950	42474
1439	109015	42394
1440	109098	42321
1441	109177	42247
1442	109246	42169
1443	109316	42091
1444	109396	42017
1445	109472	41941
1446	109547	41865
1447	109623	41790
1448	109708	41718
1449	109779	41640
1450	109839	41558
1451	109902	41478
1452	109981	41404
1453	110042	41322
1454	110112	41244
1455	110174	41164
1456	110251	41089
1457	110325	41012
1458	110404	40938
1459	110477	40861
1460	110568	40791
1461	110641	40714
1462	110708	40635
1463	110776	40557
1464	110863	40486
1465	110938	40409
1466	111004	40331
1467	111077	40254
1468	111165	40183
1469	111236	40105
1470	111299	40025
1471	111376	39950
1472	111458	39876
1473	111527	39798
1474	111598	39721
1475	111670	39644
1476	111766	39576
1477	111847	39502
1478	111925	39427
1479	112000	39351
1480	112083	39278
